Id,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtFinSF1,BsmtFinSF2,BsmtFullBath,BsmtHalfBath,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,Exterior1st,Exterior2nd,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HouseStyle,KitchenAbvGr,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,RoofMatl,RoofStyle,SaleCondition,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold,BasementFinishedPercent,BsmtCondNum,BsmtExposureNum,BsmtFinType1Num,BsmtFinType2Num,BsmtQualNum,BuildingAge,ExterCondNum,ExterQualNum,FenceNum,FireplaceQuNum,GarageAge,GarageCondNum,GarageFinishNum,GarageQualNum,HeatingQCNum,KitchenQualNum,OverallQualOverallCond,OverallQualTotalAreaSFMultiplied,PoolQCNum,QualSquared,RemodelledAge,RoomSize,SumAge,TotalAreaSF,BeforeCrisis,Floors,TotalAreaSFBinned,Year,NeighborhoodOverallQualMean,NeighborhoodTotalAreaSFMean
19,1339,0,0,No,3,1Fam,504.0,0.0,0.0,0.0,525.0,Y,Norm,Norm,SBrkr,0,BrkFace,Plywood,0,CBlock,1,Min1,294.0,1.0,Attchd,1958.0,1339,0,GasA,1Story,1,Lvl,Gtl,7560,Inside,70.0,Reg,0,20,RL,0.0,None,No,0,5,NAmes,0,6,5,Y,0,CompShg,Hip,Abnorml,COD,0,Pave,6,1029.0,AllPub,0,1958,1965,2009,0.4897959183673469,3,0,2,1,3,51,3,3,3,0,51.0,3,1,3,3,3,11,11840.0,4,25,44,1345,95,2368.0,1.0,0.0,5.0,3.0,5.334085778781039,2323.331828442438
20,1158,1218,0,No,4,1Fam,0.0,0.0,0.0,0.0,1158.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,3,Typ,853.0,3.0,BuiltIn,2005.0,2376,1,GasA,2Story,1,Lvl,Gtl,14215,Corner,101.0,IR1,0,60,RL,380.0,BrkFace,No,0,11,NridgHt,154,5,8,Y,0,CompShg,Gable,Partial,New,0,Pave,9,1158.0,AllPub,240,2005,2006,2006,0.0,3,2,1,1,5,1,3,4,0,4,1.0,3,2,3,5,4,13,28272.0,4,64,0,2385,1,3534.0,1.0,1.0,8.0,0.0,8.27710843373494,3564.2831325301204
21,1108,0,0,Grvl,3,1Fam,0.0,0.0,0.0,0.0,637.0,Y,Norm,Norm,FuseF,205,Wd Sdng,Wd Sdng,1,PConc,1,Typ,280.0,1.0,Attchd,1930.0,1108,0,GasA,1.5Unf,1,Bnk,Gtl,7449,Inside,57.0,Reg,0,45,RM,0.0,None,No,0,6,IDOTRR,0,7,7,N,0,CompShg,Gable,Normal,WD,0,Pave,6,637.0,AllPub,0,1930,1950,2007,0.0,3,0,1,1,3,77,3,3,4,4,77.0,3,1,3,5,4,14,12215.0,4,49,57,1114,134,1745.0,1.0,0.0,3.0,1.0,4.731182795698925,1920.5698924731182
22,1795,0,0,No,3,1Fam,0.0,0.0,0.0,0.0,1777.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,2,Typ,534.0,2.0,Attchd,2002.0,1795,0,GasA,1Story,1,Lvl,Gtl,9742,Inside,75.0,Reg,0,20,RL,281.0,BrkFace,No,0,9,CollgCr,159,5,8,Y,0,CompShg,Hip,Normal,WD,0,Pave,7,1777.0,AllPub,171,2002,2002,2008,0.0,3,0,1,1,4,6,3,4,0,4,6.0,3,2,3,5,4,13,28576.0,4,64,6,1802,12,3572.0,1.0,0.0,8.0,2.0,6.677902621722846,2654.1685393258426
23,1060,0,0,No,3,TwnhsE,840.0,0.0,1.0,0.0,200.0,Y,Norm,Norm,SBrkr,0,CemntBd,CmentBd,1,PConc,1,Typ,572.0,2.0,Attchd,1976.0,1060,0,GasA,1Story,1,Lvl,Gtl,4224,Inside,44.0,Reg,0,120,RM,0.0,None,No,0,6,MeadowV,110,7,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,1040.0,AllPub,100,1976,1976,2007,0.8076923076923077,3,0,6,1,4,31,3,3,0,3,31.0,3,1,3,3,3,12,10500.0,4,25,31,1066,62,2100.0,1.0,0.0,4.0,1.0,4.378378378378378,1677.6756756756756
24,1060,0,0,No,3,1Fam,188.0,668.0,1.0,0.0,204.0,Y,Norm,Norm,SBrkr,0,Plywood,Plywood,1,CBlock,1,Typ,270.0,1.0,Attchd,1968.0,1060,0,GasA,1Story,1,Lvl,Gtl,8246,Inside,69.30579531442663,IR1,0,20,RL,0.0,None,No,0,5,Sawyer,90,8,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,1060.0,AllPub,406,1968,2001,2010,0.8075471698113208,3,1,3,5,3,42,4,3,3,3,42.0,3,1,3,5,4,13,10600.0,4,25,9,1066,51,2120.0,0.0,0.0,4.0,4.0,5.066225165562914,2135.582781456954
25,1600,0,0,No,3,1Fam,0.0,0.0,0.0,0.0,1566.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,2,Typ,890.0,3.0,Attchd,2007.0,1600,0,GasA,1Story,1,Lvl,Gtl,14230,Corner,110.0,Reg,0,20,RL,640.0,Stone,No,0,7,NridgHt,56,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,1566.0,AllPub,0,2007,2007,2009,0.0,3,0,1,1,4,2,3,4,0,4,2.0,3,2,3,5,4,13,25328.0,4,64,2,1607,4,3166.0,1.0,0.0,7.0,3.0,8.27710843373494,3564.2831325301204
26,900,0,0,No,3,1Fam,234.0,486.0,0.0,1.0,180.0,Y,Norm,Norm,SBrkr,0,Wd Sdng,Wd Sdng,0,CBlock,1,Typ,576.0,2.0,Detchd,2005.0,900,0,GasA,1Story,1,Lvl,Gtl,7200,Corner,60.0,Reg,0,20,RL,0.0,None,No,0,5,NAmes,32,7,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,5,900.0,AllPub,222,1951,2000,2010,0.8,3,1,4,3,3,59,3,3,0,0,5.0,3,1,3,3,4,12,9000.0,4,25,10,905,69,1800.0,0.0,0.0,3.0,4.0,5.334085778781039,2323.331828442438
27,1704,0,0,No,3,1Fam,1218.0,0.0,1.0,0.0,486.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,2,Typ,772.0,3.0,Attchd,2008.0,1704,0,GasA,1Story,1,Lvl,Gtl,11478,Inside,98.0,Reg,0,20,RL,200.0,Stone,No,0,5,NridgHt,50,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,1704.0,AllPub,0,2007,2008,2010,0.7147887323943662,3,0,6,1,5,3,3,4,0,4,2.0,3,2,3,5,4,13,27264.0,4,64,2,1711,5,3408.0,0.0,0.0,8.0,4.0,8.27710843373494,3564.2831325301204
28,1600,0,0,No,2,1Fam,1277.0,0.0,1.0,0.0,207.0,Y,Norm,Norm,SBrkr,0,MetalSd,MetalSd,2,CBlock,1,Typ,319.0,1.0,Attchd,1957.0,1600,0,GasA,1Story,1,Lvl,Gtl,16321,CulDSac,47.0,IR1,0,20,RL,0.0,None,No,0,12,NAmes,258,6,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,1484.0,AllPub,288,1957,1997,2006,0.860512129380054,3,3,4,1,3,49,3,3,0,4,49.0,3,2,3,3,3,11,15420.0,4,25,9,1606,58,3084.0,1.0,0.0,7.0,0.0,5.334085778781039,2323.331828442438
29,520,0,0,No,1,1Fam,0.0,0.0,0.0,0.0,520.0,N,Feedr,RRNn,SBrkr,87,MetalSd,MetalSd,0,BrkTil,1,Typ,240.0,1.0,Detchd,1920.0,520,0,GasA,1Story,1,Lvl,Gtl,6324,Inside,60.0,IR1,0,30,RM,0.0,None,No,0,5,BrkSide,0,6,4,Y,0,CompShg,Gable,Normal,WD,0,Pave,4,520.0,AllPub,49,1927,1950,2008,0.0,3,0,1,1,3,81,3,3,0,0,88.0,3,1,2,2,2,10,4160.0,4,16,58,524,139,1040.0,1.0,0.0,1.0,2.0,5.12037037037037,1991.7314814814815
30,649,668,0,Pave,3,1Fam,0.0,0.0,0.0,0.0,649.0,N,Feedr,Norm,SBrkr,172,BrkFace,BrkFace,0,BrkTil,1,Typ,250.0,1.0,Detchd,1920.0,1317,0,GasA,2Story,1,Lvl,Gtl,8500,Inside,50.0,Reg,0,70,C (all),0.0,None,No,0,7,IDOTRR,54,4,4,N,0,CompShg,Gambrel,Normal,WD,0,Pave,6,649.0,AllPub,0,1920,1950,2008,0.0,3,0,1,1,3,88,2,3,3,0,88.0,2,1,3,3,3,8,7864.0,4,16,58,1323,146,1966.0,1.0,1.0,4.0,2.0,4.731182795698925,1920.5698924731182
31,1228,0,0,No,3,1Fam,0.0,0.0,0.0,0.0,1228.0,Y,Norm,Norm,SBrkr,0,HdBoard,HdBoard,0,CBlock,1,Typ,271.0,1.0,Attchd,1966.0,1228,1,GasA,1Story,1,Lvl,Gtl,8544,CulDSac,69.30579531442663,IR1,0,20,RL,0.0,None,No,0,6,Sawyer,65,6,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,1228.0,AllPub,0,1966,2006,2008,0.0,3,0,1,1,3,42,3,3,3,0,42.0,3,1,3,4,4,11,12280.0,4,25,2,1234,44,2456.0,1.0,0.0,5.0,2.0,5.066225165562914,2135.582781456954
32,1234,0,0,No,3,1Fam,0.0,0.0,0.0,0.0,1234.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,0,PConc,2,Typ,484.0,2.0,Attchd,2007.0,1234,0,GasA,1Story,1,Lvl,Gtl,11049,Corner,85.0,Reg,0,20,RL,0.0,None,No,0,1,CollgCr,30,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,7,1234.0,AllPub,0,2007,2007,2008,0.0,3,2,1,1,5,1,3,4,0,0,1.0,3,2,3,5,4,13,19744.0,4,64,1,1241,2,2468.0,1.0,0.0,5.0,2.0,6.677902621722846,2654.1685393258426
33,1700,0,0,No,4,1Fam,1018.0,0.0,0.0,1.0,380.0,Y,Norm,Norm,SBrkr,0,BrkFace,BrkFace,1,CBlock,1,Typ,447.0,2.0,Attchd,1959.0,1700,1,GasA,1Story,1,Lvl,Gtl,10552,Inside,70.0,IR1,0,20,RL,0.0,None,No,0,4,NAmes,38,5,5,Y,0,CompShg,Hip,Normal,WD,0,Pave,6,1398.0,AllPub,0,1959,1959,2010,0.7281831187410587,3,0,3,1,3,51,3,3,0,4,51.0,3,2,3,4,4,10,15490.0,4,25,51,1706,102,3098.0,0.0,0.0,7.0,4.0,5.334085778781039,2323.331828442438
34,1561,0,0,No,2,TwnhsE,1153.0,0.0,1.0,0.0,408.0,Y,Norm,Norm,SBrkr,0,MetalSd,MetalSd,1,PConc,2,Typ,556.0,2.0,Attchd,2005.0,1561,0,GasA,1Story,1,Lvl,Gtl,7313,Inside,60.0,Reg,0,120,RL,246.0,BrkFace,No,0,8,NridgHt,47,5,9,Y,0,CompShg,Hip,Normal,WD,0,Pave,6,1561.0,AllPub,203,2005,2005,2007,0.7386290839205637,3,0,6,1,5,2,3,5,0,4,2.0,3,3,3,5,5,14,28098.0,4,81,2,1567,4,3122.0,1.0,0.0,7.0,1.0,8.27710843373494,3564.2831325301204
35,1132,1320,0,No,4,1Fam,0.0,0.0,0.0,0.0,1117.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,1,PConc,3,Typ,691.0,3.0,BuiltIn,2004.0,2452,1,GasA,2Story,1,Lvl,Gtl,13418,Inside,108.0,Reg,0,60,RL,132.0,Stone,No,0,9,NridgHt,32,5,8,Y,0,CompShg,Gable,Normal,WD,0,Pave,9,1117.0,AllPub,113,2004,2005,2006,0.0,3,2,1,1,5,2,3,4,0,4,2.0,3,3,3,5,4,13,28552.0,4,64,1,2461,3,3569.0,1.0,1.0,8.0,0.0,8.27710843373494,3564.2831325301204
36,1097,0,0,No,3,1Fam,0.0,0.0,0.0,0.0,1097.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,0,PConc,1,Typ,672.0,2.0,Attchd,1995.0,1097,1,GasA,1Story,1,Lvl,Gtl,10859,Corner,112.0,Reg,0,20,RL,0.0,None,No,0,6,CollgCr,64,5,5,Y,0,CompShg,Gable,Normal,WD,0,Pave,6,1097.0,AllPub,392,1994,1995,2009,0.0,3,0,1,1,4,15,3,3,0,0,14.0,3,1,3,5,3,10,10970.0,4,25,14,1103,29,2194.0,1.0,0.0,4.0,3.0,6.677902621722846,2654.1685393258426
37,1297,0,0,No,3,1Fam,1213.0,0.0,0.0,1.0,84.0,Y,Norm,Norm,SBrkr,0,Wd Sdng,Wd Sdng,1,CBlock,1,Typ,498.0,2.0,Attchd,1954.0,1297,0,GasA,1Story,1,Lvl,Gtl,8532,Inside,74.0,Reg,0,20,RL,650.0,BrkFace,No,0,10,NAmes,0,6,5,Y,0,CompShg,Hip,Normal,WD,0,Pave,5,1297.0,AllPub,0,1954,1990,2009,0.9352351580570547,3,0,3,1,3,55,3,3,0,3,55.0,3,3,3,4,3,11,12970.0,4,25,19,1302,74,2594.0,1.0,0.0,5.0,3.0,5.334085778781039,2323.331828442438
38,1057,0,0,No,3,1Fam,731.0,0.0,1.0,0.0,326.0,Y,Norm,Norm,SBrkr,0,VinylSd,VinylSd,0,CBlock,1,Typ,246.0,1.0,Detchd,1953.0,1057,0,GasA,1Story,1,Lvl,Gtl,7922,Inside,68.0,Reg,0,20,RL,0.0,None,No,0,1,NAmes,52,7,5,Y,0,CompShg,Gable,Abnorml,WD,0,Pave,5,1057.0,AllPub,0,1953,2007,2010,0.6915799432355724,3,0,6,1,3,57,4,3,0,0,57.0,3,1,3,3,4,12,10570.0,4,25,3,1062,60,2114.0,0.0,0.0,4.0,4.0,5.334085778781039,2323.331828442438
